Date,Name,Training,Status
04/03/2022,Vinnie Krueger,IV care,Complete
31/01/2022,Tadhg Faulkner,Information governance,Completed
01/09/2022,Kaci Braun,Mouth care,Unknown
14/03/2022,Kendrick Gill,Hand hygiene,Complete
31/08/2022,Kaci Braun,IV care,Complete
01/09/2022,Shantelle Whiteley,IV care,Incomplete
02/08/2022,Elina Keller,Information governance,Incomplete
06/03/2022,Kendrick Gill,Hand hygiene,Complete
09/06/2022,Isha Lam,Mouth care,Incomplete
04/04/2022,Shantelle Whiteley,IV care,Incomplete
02/05/2022,Kayden Orozco,IV care,Complete
14/03/2022,Isha Lam,IV care,Unknown
13/03/2022,Tadhg Faulkner,Information governance,Completed
13/06/2022,Shantelle Whiteley,Mouth care,Unknown
15/05/2022,Kayden Orozco,Information governance,Complete
25/04/2022,Myrtle Hoffman,Mouth care,Completed
01/07/2022,Vinnie Krueger,Mouth care,Incomplete
09/04/2022,Tadhg Faulkner,IV care,Incomplete
11/08/2022,Myrtle Hoffman,Information governance,Unknown
08/04/2022,Elina Keller,IV care,Incomplete
11/07/2022,Kaci Braun,Information governance,Complete
31/05/2022,Lynda Howells,Information governance,Complete
16/01/2022,Kaci Braun,Hand hygiene,Complete
08/01/2022,Lynda Howells,Hand hygiene,Unknown
06/08/2022,Isha Lam,IV care,Complete
15/03/2022,Myrtle Hoffman,Information governance,Incomplete
27/01/2022,Vinnie Krueger,Mouth care,Incomplete
17/05/2022,Elina Keller,Information governance,Incomplete
29/04/2022,Myrtle Hoffman,Hand hygiene,Incomplete
30/04/2022,Bill Cantu,Mouth care,Complete
23/03/2022,Lynda Howells,Information governance,Unknown
04/03/2022,Vinnie Krueger,Mouth care,Complete
31/08/2022,Tadhg Faulkner,IV care,Completed
19/07/2022,Myrtle Hoffman,Hand hygiene,Unknown
05/01/2022,Tadhg Faulkner,Hand hygiene,Unknown
03/02/2022,Kayden Orozco,Hand hygiene,Unknown
22/05/2022,Lynda Howells,IV care,Incomplete
27/03/2022,Elina Keller,Information governance,Complete
09/01/2022,Kyla Sparks,Mouth care,Unknown
11/04/2022,Vinnie Krueger,Information governance,Complete
14/01/2022,Elina Keller,IV care,Complete
22/02/2022,Kayden Orozco,Hand hygiene,Incomplete
16/04/2022,Tadhg Faulkner,IV care,Completed
22/07/2022,Tadhg Faulkner,IV care,Incomplete
20/03/2022,Tadhg Faulkner,Hand hygiene,Incomplete
19/01/2022,Myrtle Hoffman,IV care,Completed
17/02/2022,Kayden Orozco,Information governance,Incomplete
18/02/2022,Kaci Braun,Hand hygiene,Completed
02/01/2022,Vinnie Krueger,IV care,Incomplete
27/03/2022,Kaci Braun,Hand hygiene,Incomplete
25/04/2022,Kendrick Gill,Information governance,Incomplete
06/01/2022,Tadhg Faulkner,IV care,Completed
04/01/2022,Isha Lam,Hand hygiene,Incomplete
07/02/2022,Elina Keller,Hand hygiene,Complete
19/04/2022,Shantelle Whiteley,IV care,Complete
27/05/2022,Kaci Braun,Mouth care,Incomplete
14/08/2022,Myrtle Hoffman,Hand hygiene,Incomplete
10/07/2022,Lynda Howells,IV care,Complete
18/04/2022,Kayden Orozco,Mouth care,Unknown
14/07/2022,Isha Lam,Hand hygiene,Incomplete
12/05/2022,Myrtle Hoffman,IV care,Completed
25/03/2022,Kaci Braun,Hand hygiene,Unknown
03/07/2022,Tadhg Faulkner,Mouth care,Unknown
01/04/2022,Kendrick Gill,Mouth care,Incomplete
30/03/2022,Tadhg Faulkner,Information governance,Incomplete
08/03/2022,Elina Keller,Information governance,Incomplete
16/08/2022,Isha Lam,Mouth care,Incomplete
20/07/2022,Kaci Braun,Information governance,Incomplete
07/04/2022,Myrtle Hoffman,Hand hygiene,Complete
15/07/2022,Kayden Orozco,Mouth care,Completed
26/06/2022,Kyla Sparks,Information governance,Incomplete
26/08/2022,Kayden Orozco,Information governance,Incomplete
09/05/2022,Shantelle Whiteley,Hand hygiene,Unknown
27/01/2022,Tadhg Faulkner,IV care,Incomplete
30/08/2022,Tadhg Faulkner,Hand hygiene,Complete
03/08/2022,Tadhg Faulkner,Mouth care,Unknown
18/06/2022,Kayden Orozco,Hand hygiene,Incomplete
12/05/2022,Bill Cantu,IV care,Complete
09/04/2022,Kayden Orozco,IV care,Incomplete
05/06/2022,Kayden Orozco,Information governance,Complete
01/08/2022,Kendrick Gill,IV care,Complete
23/05/2022,Kaci Braun,Information governance,Incomplete
01/08/2022,Isha Lam,Hand hygiene,Incomplete
19/08/2022,Myrtle Hoffman,Information governance,Complete
21/04/2022,Kaci Braun,Hand hygiene,Completed
17/07/2022,Tadhg Faulkner,Information governance,Completed
10/08/2022,Kaci Braun,Information governance,Complete
18/03/2022,Kayden Orozco,IV care,Unknown
18/04/2022,Myrtle Hoffman,IV care,Complete
03/03/2022,Elina Keller,IV care,Completed
09/07/2022,Kendrick Gill,Hand hygiene,Completed
22/08/2022,Isha Lam,Information governance,Unknown
29/05/2022,Shantelle Whiteley,Mouth care,Unknown
09/03/2022,Kayden Orozco,Information governance,Complete
26/07/2022,Lynda Howells,Information governance,Complete
04/02/2022,Tadhg Faulkner,Mouth care,Incomplete
10/03/2022,Isha Lam,Information governance,Unknown
02/08/2022,Myrtle Hoffman,Hand hygiene,Incomplete
26/08/2022,Myrtle Hoffman,Hand hygiene,Incomplete
17/07/2022,Myrtle Hoffman,Mouth care,Incomplete
17/07/2022,Kayden Orozco,Hand hygiene,Complete
09/04/2022,Kaci Braun,IV care,Incomplete
16/07/2022,Kendrick Gill,Hand hygiene,Unknown
02/06/2022,Elina Keller,Hand hygiene,Incomplete
06/07/2022,Kyla Sparks,Mouth care,Complete
07/04/2022,Kaci Braun,Hand hygiene,Incomplete
18/05/2022,Bill Cantu,Mouth care,Complete
17/06/2022,Kyla Sparks,IV care,Incomplete
19/07/2022,Tadhg Faulkner,IV care,Incomplete
26/08/2022,Vinnie Krueger,Hand hygiene,Complete
19/04/2022,Bill Cantu,Information governance,Unknown
05/02/2022,Kaci Braun,Mouth care,Incomplete
19/03/2022,Kyla Sparks,Hand hygiene,Unknown
21/02/2022,Elina Keller,Mouth care,Incomplete
17/06/2022,Tadhg Faulkner,IV care,Completed
12/05/2022,Elina Keller,IV care,Complete
06/01/2022,Kaci Braun,Mouth care,Incomplete
29/05/2022,Isha Lam,Hand hygiene,Unknown
04/05/2022,Myrtle Hoffman,Mouth care,Completed
17/01/2022,Bill Cantu,IV care,Unknown
22/01/2022,Vinnie Krueger,Information governance,Completed
03/08/2022,Tadhg Faulkner,Hand hygiene,Unknown
02/06/2022,Kendrick Gill,Hand hygiene,Unknown
07/02/2022,Tadhg Faulkner,IV care,Complete
21/03/2022,Kayden Orozco,IV care,Unknown
