Date,Name,Training,Status
16/04/2022,Isha Lam,IV care,Complete
28/08/2022,Isha Lam,Hand hygiene,Complete
21/01/2022,Elina Keller,IV care,Incomplete
10/05/2022,Kayden Orozco,IV care,Unknown
06/06/2022,Isha Lam,Information governance,Unknown
02/05/2022,Tadhg Faulkner,Information governance,Complete
08/01/2022,Elina Keller,Information governance,Incomplete
24/04/2022,Bill Cantu,Hand hygiene,Incomplete
02/02/2022,Vinnie Krueger,Hand hygiene,Complete
22/08/2022,Kyla Sparks,Hand hygiene,Complete
17/01/2022,Kyla Sparks,Hand hygiene,Complete
20/04/2022,Kyla Sparks,IV care,Unknown
26/02/2022,Kaci Braun,Hand hygiene,Incomplete
31/07/2022,Vinnie Krueger,Information governance,Incomplete
30/05/2022,Kayden Orozco,Information governance,Incomplete
10/02/2022,Kayden Orozco,Hand hygiene,Complete
11/01/2022,Kayden Orozco,IV care,Incomplete
11/04/2022,Kendrick Gill,Hand hygiene,Completed
15/07/2022,Myrtle Hoffman,IV care,Unknown
08/05/2022,Vinnie Krueger,IV care,Complete
16/01/2022,Isha Lam,IV care,Completed
05/08/2022,Lynda Howells,IV care,Unknown
26/07/2022,Kayden Orozco,Information governance,Unknown
07/01/2022,Kayden Orozco,Information governance,Incomplete
10/07/2022,Kayden Orozco,Information governance,Complete
18/08/2022,Isha Lam,Hand hygiene,Complete
21/01/2022,Shantelle Whiteley,IV care,Completed
09/07/2022,Vinnie Krueger,Information governance,Incomplete
13/03/2022,Myrtle Hoffman,Hand hygiene,Incomplete
11/02/2022,Isha Lam,IV care,Complete
06/05/2022,Shantelle Whiteley,Information governance,Completed
21/05/2022,Shantelle Whiteley,Hand hygiene,Complete
16/02/2022,Shantelle Whiteley,Hand hygiene,Complete
03/04/2022,Kayden Orozco,Information governance,Incomplete
08/07/2022,Kendrick Gill,Hand hygiene,Unknown
26/05/2022,Lynda Howells,IV care,Unknown
19/02/2022,Kaci Braun,Information governance,Complete
11/02/2022,Vinnie Krueger,IV care,Incomplete
29/08/2022,Shantelle Whiteley,Hand hygiene,Complete
06/06/2022,Tadhg Faulkner,Information governance,Complete
25/06/2022,Kyla Sparks,IV care,Incomplete
18/01/2022,Isha Lam,Information governance,Complete
03/01/2022,Myrtle Hoffman,Hand hygiene,Completed
30/04/2022,Isha Lam,Information governance,Unknown
18/03/2022,Myrtle Hoffman,Information governance,Incomplete
01/03/2022,Myrtle Hoffman,IV care,Complete
25/07/2022,Elina Keller,Hand hygiene,Unknown
04/08/2022,Kaci Braun,Hand hygiene,Unknown
04/01/2022,Kyla Sparks,Information governance,Unknown
14/02/2022,Tadhg Faulkner,Hand hygiene,Unknown

