Date,Name,Training,Status
02/06/2022,Kendrick Gill,Hand hygiene,Completed
15/05/2022,Kayden Orozco,Hand hygiene,Incomplete
21/01/2022,Kyla Sparks,Hand hygiene,Incomplete
30/07/2022,Kyla Sparks,IV care,Unknown
11/05/2022,Bill Cantu,Hand hygiene,Complete
09/02/2022,Kayden Orozco,Information governance,Incomplete
05/08/2022,Myrtle Hoffman,IV care,Unknown
23/08/2022,Kayden Orozco,Hand hygiene,Completed
15/08/2022,Vinnie Krueger,Information governance,Complete
15/05/2022,Kayden Orozco,Hand hygiene,Incomplete
28/03/2022,Shantelle Whiteley,Hand hygiene,Complete
02/01/2022,Kyla Sparks,IV care,Complete
27/08/2022,Kyla Sparks,Information governance,Completed
17/05/2022,Kendrick Gill,IV care,Incomplete
27/02/2022,Kaci Braun,IV care,Complete
25/04/2022,Myrtle Hoffman,IV care,Completed
22/05/2022,Elina Keller,IV care,Complete
27/07/2022,Shantelle Whiteley,IV care,Incomplete
19/07/2022,Myrtle Hoffman,Hand hygiene,Complete
21/02/2022,Kaci Braun,Information governance,Complete
20/05/2022,Myrtle Hoffman,Information governance,Complete
11/07/2022,Shantelle Whiteley,Hand hygiene,Unknown
10/05/2022,Myrtle Hoffman,Information governance,Complete
18/03/2022,Elina Keller,Information governance,Unknown
26/06/2022,Kyla Sparks,Hand hygiene,Unknown
22/03/2022,Bill Cantu,IV care,Incomplete
09/02/2022,Tadhg Faulkner,Hand hygiene,Complete
11/03/2022,Kyla Sparks,IV care,Incomplete
07/05/2022,Kayden Orozco,Information governance,Incomplete
04/02/2022,Bill Cantu,Hand hygiene,Incomplete
07/06/2022,Vinnie Krueger,IV care,Completed
25/05/2022,Myrtle Hoffman,Hand hygiene,Completed
15/02/2022,Kyla Sparks,Hand hygiene,Complete
16/01/2022,Lynda Howells,Information governance,Completed
16/07/2022,Tadhg Faulkner,Information governance,Complete
19/02/2022,Myrtle Hoffman,Information governance,Complete
27/06/2022,Vinnie Krueger,Information governance,Completed
17/05/2022,Kendrick Gill,Hand hygiene,Complete
04/08/2022,Kendrick Gill,Information governance,Incomplete
18/05/2022,Tadhg Faulkner,IV care,Complete
23/07/2022,Kaci Braun,IV care,Incomplete
28/08/2022,Kayden Orozco,Hand hygiene,Complete
24/02/2022,Elina Keller,Hand hygiene,Incomplete
23/02/2022,Kayden Orozco,Hand hygiene,Unknown
26/05/2022,Elina Keller,Hand hygiene,Incomplete
26/05/2022,Kendrick Gill,Hand hygiene,Completed
15/05/2022,Shantelle Whiteley,Information governance,Complete
31/03/2022,Tadhg Faulkner,Information governance,Completed
28/05/2022,Kaci Braun,Hand hygiene,Complete
27/08/2022,Tadhg Faulkner,Information governance,Unknown




