Date,Name,Training,Status
08/04/2022,Lynda Howells,Information governance,Unknown
22/02/2022,Kayden Orozco,Hand hygiene,Unknown
25/08/2022,Isha Lam,IV care,Completed
10/04/2022,Myrtle Hoffman,Information governance,Completed
07/07/2022,Lynda Howells,Hand hygiene,Incomplete
15/03/2022,Kaci Braun,Information governance,Completed
16/02/2022,Shantelle Whiteley,Hand hygiene,Unknown
05/02/2022,Tadhg Faulkner,Information governance,Completed
29/06/2022,Elina Keller,Information governance,Complete
13/04/2022,Myrtle Hoffman,Hand hygiene,Unknown
15/07/2022,Kendrick Gill,Hand hygiene,Complete
09/03/2022,Kyla Sparks,Information governance,Unknown
31/05/2022,Tadhg Faulkner,IV care,Complete
06/07/2022,Kaci Braun,IV care,Incomplete
03/08/2022,Shantelle Whiteley,Hand hygiene,Completed
18/01/2022,Bill Cantu,Hand hygiene,Unknown
12/07/2022,Kayden Orozco,IV care,Complete
20/05/2022,Bill Cantu,Information governance,Completed
30/06/2022,Kayden Orozco,IV care,Completed
21/02/2022,Kendrick Gill,IV care,Incomplete
08/02/2022,Kendrick Gill,Information governance,Completed
28/08/2022,Vinnie Krueger,IV care,Unknown
12/04/2022,Myrtle Hoffman,Information governance,Complete
22/02/2022,Myrtle Hoffman,IV care,Incomplete
04/06/2022,Tadhg Faulkner,IV care,Incomplete
23/08/2022,Kendrick Gill,Information governance,Completed
07/05/2022,Kayden Orozco,Information governance,Complete
08/06/2022,Isha Lam,IV care,Completed
03/07/2022,Lynda Howells,Hand hygiene,Unknown
25/06/2022,Kendrick Gill,Information governance,Unknown
28/05/2022,Kayden Orozco,Information governance,Unknown
25/02/2022,Kaci Braun,Hand hygiene,Complete
24/02/2022,Kendrick Gill,Hand hygiene,Complete
14/05/2022,Myrtle Hoffman,Information governance,Complete
04/07/2022,Isha Lam,IV care,Unknown
21/03/2022,Vinnie Krueger,Information governance,Complete
06/04/2022,Shantelle Whiteley,IV care,Unknown
20/05/2022,Bill Cantu,Hand hygiene,Unknown
09/05/2022,Myrtle Hoffman,IV care,Unknown
16/07/2022,Shantelle Whiteley,IV care,Complete
13/08/2022,Shantelle Whiteley,IV care,Complete
22/05/2022,Kayden Orozco,Information governance,Complete
20/02/2022,Kendrick Gill,Hand hygiene,Incomplete
05/04/2022,Kaci Braun,Hand hygiene,Unknown
18/04/2022,Kaci Braun,Hand hygiene,Incomplete
07/04/2022,Kaci Braun,Information governance,Completed
22/04/2022,Kendrick Gill,Hand hygiene,Completed
06/01/2022,Myrtle Hoffman,IV care,Incomplete
08/03/2022,Shantelle Whiteley,Information governance,Completed
04/06/2022,Tadhg Faulkner,Information governance,Complete



