Date,Name,Training,Status
12/10/2022,Isha Lam,Information governance,Unknown
15/09/2022,Shantelle Whiteley,Mouth care,Incomplete
23/10/2022,Elina Keller,Mouth care,Complete
13/10/2022,Vinnie Krueger,IV care,Complete
25/10/2022,Kayden Orozco,Mouth care,Incomplete
17/09/2022,Kyla Sparks,Mouth care,Unknown
12/10/2022,Shantelle Whiteley,Mouth care,Incomplete
10/09/2022,Kendrick Gill,Hand hygiene,Completed
25/10/2022,Kayden Orozco,Hand hygiene,Complete
24/10/2022,Kendrick Gill,Mouth care,Unknown
24/09/2022,Shantelle Whiteley,Information governance,Incomplete
21/09/2022,Tadhg Faulkner,IV care,Unknown
04/09/2022,Kendrick Gill,Information governance,Complete
04/09/2022,Kyla Sparks,IV care,Complete
31/10/2022,Isha Lam,Mouth care,Complete
04/10/2022,Kendrick Gill,Information governance,Complete
24/09/2022,Tadhg Faulkner,Hand hygiene,Completed
20/10/2022,Kaci Braun,Mouth care,Completed
06/10/2022,Isha Lam,IV care,Unknown
25/09/2022,Kendrick Gill,Hand hygiene,Incomplete
01/10/2022,Kayden Orozco,IV care,Complete
14/09/2022,Kendrick Gill,Hand hygiene,Complete
15/10/2022,Isha Lam,Information governance,Incomplete
09/09/2022,Elina Keller,Information governance,Completed
06/09/2022,Lynda Howells,Mouth care,Incomplete
23/09/2022,Elina Keller,Hand hygiene,Unknown
02/09/2022,Myrtle Hoffman,Mouth care,Incomplete
17/10/2022,Bill Cantu,Mouth care,Unknown
27/09/2022,Lynda Howells,Information governance,Completed
08/10/2022,Vinnie Krueger,IV care,Complete
27/09/2022,Kaci Braun,IV care,Unknown
08/10/2022,Myrtle Hoffman,IV care,Completed
10/10/2022,Vinnie Krueger,Information governance,Incomplete
14/09/2022,Kaci Braun,Mouth care,Complete
22/10/2022,Kyla Sparks,Hand hygiene,Complete
25/09/2022,Kendrick Gill,IV care,Incomplete
08/09/2022,Vinnie Krueger,IV care,Completed
14/09/2022,Lynda Howells,IV care,Unknown
02/09/2022,Elina Keller,IV care,Unknown
06/09/2022,Vinnie Krueger,Hand hygiene,Complete
16/10/2022,Lynda Howells,IV care,Unknown
21/09/2022,Isha Lam,IV care,Unknown
13/10/2022,Kyla Sparks,IV care,Incomplete
16/09/2022,Myrtle Hoffman,Mouth care,Incomplete
24/09/2022,Kyla Sparks,Information governance,Complete
19/10/2022,Shantelle Whiteley,Hand hygiene,Completed
04/10/2022,Kaci Braun,Information governance,Unknown
06/09/2022,Lynda Howells,Information governance,Unknown
03/10/2022,Vinnie Krueger,Information governance,Completed
16/09/2022,Tadhg Faulkner,Mouth care,Complete
01/10/2022,Isha Lam,IV care,Complete
06/09/2022,Shantelle Whiteley,Hand hygiene,Completed
22/09/2022,Kayden Orozco,Hand hygiene,Complete
25/09/2022,Tadhg Faulkner,Hand hygiene,Incomplete
19/09/2022,Kendrick Gill,Information governance,Completed
27/10/2022,Kendrick Gill,Information governance,Complete
13/10/2022,Kyla Sparks,Hand hygiene,Completed
24/10/2022,Tadhg Faulkner,IV care,Incomplete
12/09/2022,Lynda Howells,Hand hygiene,Unknown
09/09/2022,Tadhg Faulkner,Mouth care,Completed
12/09/2022,Bill Cantu,Hand hygiene,Completed
29/09/2022,Bill Cantu,Hand hygiene,Complete
20/10/2022,Isha Lam,Mouth care,Unknown
18/10/2022,Kyla Sparks,Hand hygiene,Completed
09/09/2022,Kyla Sparks,Information governance,Unknown
17/09/2022,Myrtle Hoffman,IV care,Unknown
09/09/2022,Shantelle Whiteley,Hand hygiene,Complete
02/09/2022,Isha Lam,IV care,Complete
19/09/2022,Elina Keller,Mouth care,Incomplete
23/10/2022,Bill Cantu,IV care,Incomplete
08/10/2022,Kendrick Gill,IV care,Complete
03/09/2022,Tadhg Faulkner,Hand hygiene,Completed
29/10/2022,Kayden Orozco,Hand hygiene,Unknown
02/09/2022,Kendrick Gill,Hand hygiene,Complete
18/10/2022,Kayden Orozco,IV care,Complete
09/10/2022,Elina Keller,Information governance,Completed
18/09/2022,Kendrick Gill,Mouth care,Incomplete
08/09/2022,Isha Lam,Hand hygiene,Completed
19/09/2022,Kyla Sparks,Mouth care,Unknown
16/09/2022,Vinnie Krueger,Information governance,Completed
08/09/2022,Lynda Howells,Information governance,Incomplete
11/10/2022,Isha Lam,Information governance,Incomplete
07/09/2022,Kyla Sparks,Information governance,Completed
